Iteration,SMILES,Modification,Docking Score,SA Score,QED Score,Molecular Weight,Validity
0,c1ccc2c(cc(s2)C(=O)N)c1,Initial SMILES,-5.3,1.91,0.71,177.23,Valid
1,c1ccc2c(cc(s2)C(=O)Nc3ccccc3)c1,Added an aromatic ring to enhance π-π stacking interactions.,-7.1,1.6,0.73,253.33,Valid
2,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCCCN)c1,Added a 4-aminobutanamido group to the aromatic ring.,-7.0,1.94,0.56,367.47,Valid
3,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)NCCOCCN)c1,Introduced a rational linker to the structure.,-7.1,2.08,0.52,383.47,Valid
4,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3)C(=O)Nc4ccccc4)c1,Added another aromatic ring to enhance π-π stacking interactions.,-9.1,1.74,0.5,372.45,Valid
5,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3OC)C(=O)Nc4ccccc4)c1,Added a methoxy group to the aromatic ring.,-8.8,1.88,0.47,402.48,Valid
6,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3F)C(=O)Nc4ccccc4)c1,Added a fluorine atom to the aromatic ring.,-9.1,1.88,0.48,390.44,Valid
7,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(F)(F)F)C(=O)Nc4ccccc4)c1,Added a trifluoromethyl group to the aromatic ring.,-7.6,2.07,0.38,440.45,Valid
8,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3[N+](=O)[O-])C(=O)Nc4ccccc4)c1,Added a nitro group to the aromatic ring.,-8.6,2.01,0.34,417.45,Valid
9,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C#N)C(=O)Nc4ccccc4)c1,Added a cyano group to the aromatic ring.,-7.3,2.05,0.49,397.46,Valid
10,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3O)C(=O)Nc4ccccc4)c1,Added a hydroxyl group to the aromatic ring.,-8.5,1.95,0.43,388.45,Valid
11,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C)C(=O)Nc4ccccc4)c1,Added a methyl group to the aromatic ring.,-7.6,1.84,0.47,386.48,Valid
12,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3Cl)C(=O)Nc4ccccc4)c1,Added a chlorine atom to the aromatic ring.,-7.6,1.88,0.43,406.89,Valid
13,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3CC)C(=O)Nc4ccccc4)c1,Added an ethyl group to the aromatic ring.,-8.5,1.97,0.43,400.5,Valid
14,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(C)(C)C)C(=O)Nc4ccccc4)c1,Added a tert-butyl group to the aromatic ring.,-8.8,2.09,0.38,428.56,Valid
15,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(C)(C)C)C(=O)Nc4ccc(cc4)c5ccccc5)c1,Added a phenyl group to the aromatic ring.,-8.5,2.21,0.25,504.66,Valid
16,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(C)(C)C)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a pyridine ring to the aromatic ring.,-8.0,2.33,0.26,505.64,Valid
17,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3OC)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a methoxy group to the aromatic ring.,-7.8,2.15,0.29,479.56,Valid
18,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C(F)(F)F)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a trifluoromethyl group to the aromatic ring.,-8.2,2.32,0.25,517.53,Valid
19,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3[N+](=O)[O-])C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a nitro group to the aromatic ring.,-7.6,2.26,0.21,494.53,Valid
20,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C#N)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a cyano group to the aromatic ring.,-7.6,2.29,0.31,474.55,Valid
21,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3O)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a hydroxyl group to the aromatic ring.,-7.7,2.2,0.27,465.53,Valid
22,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3C)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a methyl group to the aromatic ring.,-8.2,2.11,0.3,463.56,Valid
23,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3Cl)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added a chlorine atom to the aromatic ring.,-7.6,2.15,0.28,483.98,Valid
24,c1ccc2c(cc(s2)C(=O)Nc3ccc(cc3CC)C(=O)Nc4ccc(cc4)c5ccncc5)c1,Added an ethyl group to the aromatic ring.,-7.9,2.23,0.28,477.59,Valid
