,WDR5-20-it(1).csv_similarities,WDR5-20-it(1).csv_value,WDR5-20-it(0).csv_similarities,WDR5-20-it(0).csv_value,WDR5-20-it(3).csv_similarities,WDR5-20-it(3).csv_value,WDR5-20-it(2).csv_similarities,WDR5-20-it(2).csv_value,WDR5-20-it(4).csv_similarities,WDR5-20-it(4).csv_value
0,1.0,-6.7,1.0,-6.7,1.0,-6.7,1.0,-6.7,1.0,-6.7
1,0.7152777777777778,-8.3,0.7525252525252525,-7.2,0.7525252525252525,-7.2,0.7152777777777778,-8.3,0.7801047120418848,-7.9
2,invalid_smiles,0.0,0.6335034013605442,-7.1,0.6335034013605442,-7.1,0.6169393647738209,-7.6,0.6723276723276723,-8.4
3,0.6437371663244353,-7.9,0.6639928698752228,-7.3,0.5938945420906568,-7.4,0.6206225680933852,-7.8,0.7869458128078818,-7.4
4,0.6680988184747583,-8.3,0.5983935742971888,-5.7,0.5767857142857142,-7.1,0.673842841765339,-8.9,0.6541062801932367,-9.3
5,0.6392276422764228,-8.0,0.6575463371579876,-6.9,0.49744463373083475,-7.5,0.5535535535535535,-9.0,0.5490909090909091,-8.7
6,0.676822633297062,-8.2,0.6943150046598322,-7.6,0.49619611158072696,-7.9,0.5378071833648393,-8.2,0.5664451827242525,-9.0
7,invalid_smiles,0.0,0.6639928698752228,-7.1,0.4945332211942809,-7.7,invalid_smiles,0.0,0.5688375927452597,-8.9
8,0.6713362068965517,-7.5,invalid_smiles,0.0,0.49247491638795987,-8.2,0.532319391634981,-8.0,0.5326939843068875,-8.8
9,0.6592827004219409,-7.5,0.6675627240143369,-7.3,0.49166666666666664,-8.2,0.5427728613569321,-7.5,0.5982378854625551,-9.2
10,0.7114164904862579,-7.7,0.7041587901701323,-7.5,0.4896265560165975,-6.9,0.5535353535353535,-8.2,invalid_smiles,0.0
11,0.6821621621621622,-8.0,0.7015065913370998,-7.3,0.46205860255447034,-8.4,0.5389105058365758,-8.2,0.5688375927452597,-8.9
12,0.510670731707317,0.0,0.6816102470265325,-7.3,invalid_smiles,0.0,0.5375939849624061,-7.7,invalid_smiles,0.0
13,0.6140350877192983,-7.7,0.6847426470588235,-6.8,0.47306791569086654,-7.4,0.5717234262125903,-8.5,invalid_smiles,0.0
14,0.6811279826464208,-7.6,0.7041587901701323,-7.0,0.46635730858468677,-7.0,0.518418688230009,-7.9,invalid_smiles,0.0
15,0.6017029328287606,-7.1,0.6598759964570416,-6.6,invalid_smiles,0.0,invalid_smiles,0.0,0.5924956369982548,-8.6
16,0.673842841765339,-8.9,0.6675627240143369,-7.1,0.4750593824228028,-7.9,invalid_smiles,0.0,0.5688375927452597,-8.9
17,0.5374376039933444,0.0,0.6936685288640596,-8.0,invalid_smiles,0.0,0.5398655139289145,-7.9,0.5602605863192183,-8.8
18,0.6374622356495468,-7.2,0.6616341030195382,-7.0,0.45742275810097965,-7.1,0.5571687840290381,-7.5,invalid_smiles,0.0
19,0.5761947700631199,-8.2,0.5145429362880887,-8.3,invalid_smiles,0.0,0.504786771105309,-7.5,0.5580065359477124,-8.6
