Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES structure,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced cyano group with amide group to increase polarity,0.977,0.071,3.54,448.44,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nccnc2,Replaced amide group with pyrimidine ring to increase aromatic content and nitrogen-containing groups,1.288,0.061,3.58,483.49,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(O)cnc2,Added hydroxyl group to pyrimidine ring to increase polarity,1.24,0.068,3.78,499.49,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cncnc2,Replaced pyrimidine ring with pyrazine ring to increase nitrogen content,1.288,0.061,3.61,483.49,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nncnn2,Replaced pyrazine ring with tetrazine ring to further increase nitrogen content,1.264,0.089,3.85,485.46,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(N)cnc2,Added amino group to pyrimidine ring to increase polarity,1.256,0.07,3.73,498.5,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2ccncc2,Replaced pyrimidine ring with pyridine ring to simplify structure while maintaining aromatic content,1.278,0.051,3.48,482.5,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2ccnnc2,Replaced pyridine ring with pyridazine ring to increase nitrogen content,1.288,0.061,3.66,483.49,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cncnc2N,Added amino group to pyrazine ring to increase polarity,1.238,0.057,3.69,498.5,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cnccn2,Replaced pyrazine ring with pyrimidine ring to maintain nitrogen content while changing aromatic structure,1.288,0.061,3.58,483.49,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nnccn2,"Replaced pyrimidine ring with 1,2,4-triazine ring to further increase nitrogen content",1.284,0.079,3.72,484.48,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(O)nc(N)n2,Introduced triazine ring with hydroxyl and amino substituents to increase nitrogen content and polar groups,1.211,0.075,3.81,515.49,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2ccc(N)nc2,Introduced pyridine ring with amino substituent to maintain aromatic content while adding a polar group,1.253,0.054,3.56,497.52,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cnc(N)cn2,Introduced pyrimidine ring with amino substituent to maintain nitrogen content while adding a polar group,1.256,0.07,3.68,498.5,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2cncnc2C,Introduced methyl group to pyrazine ring to affect electronic properties,1.276,0.043,3.68,497.52,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nccnc2C,Moved methyl group to different position on pyrimidine ring to explore effect on electronic properties,1.276,0.043,3.63,497.52,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nccnc2F,Introduced fluorine substituent on pyrimidine ring to affect electronic properties,1.661,0.187,3.69,501.48,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)c2nc(F)cnc2F,Introduced two fluorine substituents on pyrimidine ring to further affect electronic properties,1.803,0.229,3.84,519.47,Valid
