Iteration,SMILES,Modification,CO2 Adsorption,Uncertainty,SA Score,Molecular Weight,Validity
0,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C#N,Initial SMILES,0.885,0.033,3.69,430.42,Valid
1,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)N,Replaced C#N with C(=O)N to increase polarity and potential for hydrogen bonding,0.977,0.071,3.54,448.44,Valid
2,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)O,Changed C(=O)N to C(=O)O to introduce a carboxylic acid group,0.99,0.095,3.49,449.42,Valid
3,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)ON,Added an N to the end to form a hydroxamic acid derivative,0.954,0.077,3.68,464.44,Valid
4,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC,Changed ON to OC to form a methyl ester,1.009,0.094,3.5,463.45,Valid
5,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC,Extended the ester group by adding a carbon,1.027,0.092,3.48,477.48,Valid
6,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCO,Added a hydroxyl group to the end of the ester chain,1.004,0.088,3.56,493.48,Valid
7,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)C,Changed the ester group to an isopropyl ester,1.037,0.084,3.55,491.5,Valid
8,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OC(C)(C)C,Changed the ester group to a tert-butyl ester,1.046,0.076,3.51,505.53,Valid
9,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCC(C)C,Changed the ester group to an isobutyl ester,1.052,0.081,3.54,505.53,Valid
10,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCC(C)C,Extended the ester chain and added a branched end,1.067,0.078,3.54,519.56,Valid
11,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCC(C)C,Further extended the ester chain,1.083,0.076,3.55,533.59,Valid
12,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCCCC(C)C,Extended the ester chain to a 6-carbon chain with a branched end,1.098,0.075,3.54,547.61,Valid
13,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCOC,Introduced an ether group in the ester chain,1.015,0.089,3.57,493.48,Valid
14,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCOCC,Extended the ether-containing ester chain,1.031,0.087,3.55,521.53,Valid
15,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCOCCOC,Added another ether group to the ester chain,1.042,0.085,3.59,537.53,Valid
16,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCOCCOCC,Extended the ether-containing ester chain further,1.056,0.083,3.57,565.58,Valid
17,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCN(C)C,Introduced a tertiary amine in the ester chain,1.071,0.08,3.61,506.53,Valid
18,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCN(CC)CC,Extended the tertiary amine in the ester chain,1.085,0.078,3.59,548.61,Valid
19,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCN(CCC)CCC,Further extended the tertiary amine in the ester chain,1.097,0.076,3.57,590.69,Valid
20,Nc1cc(C(=O)[O-])c(cc1c1ccc(cc1)c1c(N)cc(c(c1N)N)C(=O)[O-])N(C)C(=O)OCCN(CCOC)CCOC,Introduced ether groups in the tertiary amine branches,1.108,0.074,3.62,594.64,Valid
