,CO2-20-it(1a).csv_similarities,CO2-20-it(1a).csv_value,CO2-20-it(3a).csv_similarities,CO2-20-it(3a).csv_value,CO2-20-it(2a).csv_similarities,CO2-20-it(2a).csv_value,CO2-20-it(0a).csv_similarities,CO2-20-it(0a).csv_value,CO2-20-it(4a).csv_similarities,CO2-20-it(4a).csv_value
0,1.0,0.885,1.0,0.885,1.0,0.885,1.0,0.885,1.0,0.885
1,0.7920094007050529,0.977,0.7920094007050529,0.977,0.790341578327444,0.964,0.878345498783455,0.879,0.7920094007050529,0.977
2,0.7633069082672707,0.994,0.7633069082672707,0.994,0.7576099210822999,0.943,0.7547368421052632,0.867,0.6185080264400378,1.288
3,0.6875631951466128,0.93,0.7541899441340782,0.951,0.649848637739657,1.278,0.8646706586826347,1.288,0.5881826320501343,1.24
4,0.7541899441340782,0.973,0.6875631951466128,0.93,0.6185080264400378,1.288,0.8006718924972005,1.159,0.6670113753877973,1.288
5,0.7382256297918949,0.974,0.7541899441340782,0.973,0.5881826320501343,1.24,0.8346820809248555,0.876,0.6611909650924025,1.264
6,0.7541899441340782,0.951,0.7342047930283224,0.991,0.6328125,1.265,0.6683884297520661,0.945,0.6010978956999085,1.256
7,0.7472283813747228,1.372,0.7247311827956989,1.318,0.5672664952870609,1.02,0.7371134020618557,1.569,0.6905781584582441,1.278
8,0.7237687366167024,1.655,0.7278617710583153,1.005,0.6611909650924025,1.264,0.7065217391304348,1.512,0.6519114688128773,1.288
9,0.7165605095541401,1.656,0.6953846153846154,0.936,0.5998185117967332,1.304,0.7276422764227642,1.689,0.62,1.238
10,0.6166965888689407,1.46,0.6799601196410767,0.974,0.5561139028475712,1.263,0.5761482675261885,1.534,0.6185080264400378,1.288
11,0.6912065439672802,1.844,0.6915219611848825,0.96,0.510590015128593,1.262,0.6657381615598886,1.61,0.6354775828460039,1.284
12,0.6573896353166987,1.844,0.6396989651928504,1.06,0.521875,1.164,0.6147260273972602,1.516,0.621414913957935,1.211
13,0.6840521564694082,1.582,0.6337371854613234,1.448,0.6254789272030651,1.305,0.6184323858742463,1.609,0.6321951219512195,1.253
14,0.6779324055666004,1.591,0.6069210292812778,1.005,0.5765217391304348,1.268,0.6117747440273038,1.542,0.6093023255813953,1.256
15,0.6725838264299803,1.567,0.5399835119538334,1.408,0.5857777777777777,1.698,0.5606891151135474,1.498,0.6269230769230769,1.276
16,0.679920477137177,1.789,0.6433301797540208,1.049,0.5692175408426483,1.833,0.5975,1.576,0.5839929639401935,1.276
17,0.6656948493683188,1.812,0.6122641509433963,1.593,0.4949127906976744,1.978,0.6341895482728078,1.623,0.5800524934383202,1.661
18,0.6952089704383282,1.701,0.5449251247920133,1.496,0.47732030704815076,2.002,0.6109215017064846,1.657,0.5618166526492852,1.803
19,0.6812749003984063,1.623,0.6299722479185939,1.527,0.43376623376623374,2.289,0.595850622406639,1.601,,
20,0.6870611835506519,1.678,0.7196162046908315,1.383,0.43021766965428937,2.297,0.6173688736027515,1.588,,
