,CMC-20-it(5a).csv_similarities,CMC-20-it(5a).csv_value,CMC-20-it(1a).csv_similarities,CMC-20-it(1a).csv_value,CMC-20-it(3a).csv_similarities,CMC-20-it(3a).csv_value,CMC-20-it(4a).csv_similarities,CMC-20-it(4a).csv_value,CMC-20-it(2a).csv_similarities,CMC-20-it(2a).csv_value
0,1.0,1.785,1.0,1.785,1.0,1.785,1.0,1.785,1.0,1.785
1,1.0,1.054,1.0,1.054,1.0,1.054,1.0,1.054,1.0,1.054
2,0.925207756232687,1.01,0.9653179190751445,2.225,0.9542857142857143,2.488,0.9542857142857143,2.74,0.9653179190751445,2.225
3,0.8287841191066998,1.033,invalid_smiles,0.0,0.7746113989637305,0.633,0.8308457711442786,1.317,invalid_smiles,0.0
4,0.8287841191066998,-0.166,0.5809312638580931,3.099,0.5745140388768899,1.681,0.8835978835978836,1.317,0.6486486486486487,0.766
5,0.789598108747045,-0.021,0.7767441860465116,1.348,0.925207756232687,1.01,0.73568281938326,0.982,0.6486486486486487,0.186
6,0.7608200455580866,-0.011,0.4266666666666667,0.54,invalid_smiles,0.0,0.73568281938326,0.441,0.5797101449275363,1.11
7,0.7455357142857143,0.013,invalid_smiles,0.0,0.7373068432671082,0.102,invalid_smiles,0.0,0.5369565217391304,0.503
8,0.7455357142857143,-0.172,invalid_smiles,0.0,0.7373068432671082,-0.424,0.7106382978723405,1.3,0.6486486486486487,0.186
9,0.7405764966740577,-0.133,0.8513513513513513,1.53,0.6423076923076924,0.384,0.6190476190476191,0.945,0.5138248847926268,1.236
10,0.7405764966740577,-0.286,0.7276688453159041,0.827,0.6872427983539094,0.284,0.5328836424957841,1.83,invalid_smiles,0.0
11,0.7373068432671082,-0.237,invalid_smiles,0.0,0.7061310782241015,0.62,0.6242990654205608,1.169,0.6486486486486487,0.186
12,0.6900826446280992,0.29,0.8166259168704156,0.99,invalid_smiles,0.0,invalid_smiles,0.0,0.6486486486486487,0.186
13,0.6666666666666666,0.975,invalid_smiles,0.0,0.65234375,0.168,invalid_smiles,0.0,0.5775656324582339,0.731
14,0.65748031496063,-0.038,invalid_smiles,0.0,invalid_smiles,0.0,0.6830265848670757,1.625,invalid_smiles,0.0
15,0.6447876447876448,-0.062,invalid_smiles,0.0,0.6510721247563352,0.747,invalid_smiles,0.0,0.6486486486486487,0.186
16,0.6447876447876448,-0.035,invalid_smiles,0.0,0.6313799621928167,-0.122,0.8308457711442786,1.317,0.5797101449275363,1.11
17,0.6423076923076924,-0.062,0.7914691943127962,0.694,0.65234375,0.168,0.7713625866050808,1.514,0.5369565217391304,0.503
18,0.6423076923076924,-0.037,invalid_smiles,0.0,0.6313799621928167,-0.122,0.7731481481481481,1.526,0.5775656324582339,0.731
19,0.6423076923076924,-0.051,0.7914691943127962,2.043,0.65234375,0.168,invalid_smiles,0.0,invalid_smiles,0.0
20,0.6423076923076924,-0.025,invalid_smiles,0.0,0.6313799621928167,-0.122,0.73568281938326,0.982,0.6486486486486487,0.186
